citiesname,Longitude,Latitude,Population
Tehran,52.02679251,35.77955058,14684000
Ghom,51.44199298,35.11296467,1502321
Ghazvin,50.34900519,36.63252548,1358000
East Azerbaijan,47.41734637,39.35331429,4140000
Kerman,59.46319538,30.51651398,3463000
Razavi Khorasan,60.49489413,33.99364971,7167000
Sistan and Baluchestan,59.22186981,25.43790438,3411000 
Kurdistan,46.49354186,36.41621614,1747445
Hamedan,49.43477709,35.41903502,1767000
Chaharmahal and Bakhtiari,50.34708991,32.54030606,1004000
Lorestan,48.05194325,34.21290203,1788000
Bushehr,50.52457274,30.16188439,1299000
Zanjan,48.92148143,37.17501555,1129000
Yazd,56.60112515,31.9212984,1355000
Hormozgan,56.2557359,28.1586932,2074000
Ardabil,48.58630702,38.4444227,1300000
Golestan,56.30234111,38.08685013,2041000
North Khorasan,58.30381114,37.66207942,871000
South Khorasan,60.49489413,33.99364971,862000
Alborz,50.66694206,36.3323411,3097000